Informazioni cronologiche,Nome utente (login) del bambino,Modalità di lettura,1. Quanto è stato facile per te leggere il testo?,Quanto è stato facile per te capire il testo?,2. Quanto ti sei sentito coinvolto dalla lettura? ,4. Quanto ti sei concentrato sul testo?,Cosa cambieresti per rendere la lettura ancora più facile o divertente in questa modalità?
2025/07/17 8:19:34 PM EEST,user1,1- Testo completo,1,2,1,2,no
2025/07/17 8:17:38 PM EEST,user1,2- Solo Frasi,2,2,1,2,no
2025/07/17 8:14:41 PM EEST,user1,3- Frasi e Pittogrammi,2,2,2,2,no
2025/07/17 8:11:05 PM EEST,user1,"4- Frasi, Pittogrammi e Parole Chiave",2,2,1,2,no
2025/05/08 5:31:48 PM EEST,user2,1- Testo completo,2,1,2,3,LE IMMAGINI
2025/05/08 5:32:19 PM EEST,user2,2- Solo Frasi,2,2,3,2,ALCUNE PAROLE
2025/05/08 5:32:42 PM EEST,user2,3- Frasi e Pittogrammi,3,3,2,3,NULLA
2025/06/19 5:33:59 PM EEST,user2,"4- Frasi, Pittogrammi e Parole Chiave",2,2,3,3,ALCUNE PAROLE
2025/04/23 5:53:30 PM EET,user3,1- Testo completo,3,3,1,3,niente
2025/04/30 6:00:08 PM EEST,user3,2- Solo Frasi,1,2,2,3,"aggiungerei dei disegni
"
2025/04/23 6:06:49 PM EET,user3,3- Frasi e Pittogrammi,2,2,2,3,frasi più lunghe
2025/04/23 6:06:49 PM EET,user3,3- Frasi e Pittogrammi,2,2,2,3,frasi più lunghe
2025/04/19 8:40:01 AM EET,user4,1- Testo completo,1,2,1,2,Con le immagini e più corto
2025/05/24 10:12:17 AM EEST,user4,2- Solo Frasi,3,2,3,2,ci metterei dei disegni
2025/05/24 10:32:22 AM EEST,user4,3- Frasi e Pittogrammi,2,2,1,1,non lo so
2025/05/26 6:13:40 PM EEST,user4,"4- Frasi, Pittogrammi e Parole Chiave",2,1,2,2,Metterei poche frasi
2025/05/06 5:17:43 PM EEST,user5,1- Testo completo,3,3,3,2,nulla
2025/05/06 5:07:51 PM EEST,user5,2- Solo Frasi,3,2,2,3,testo scritto più grande
2025/05/06 5:45:17 PM EEST,user5,3- Frasi e Pittogrammi,1,2,2,1,nulla
2025/05/06 6:06:30 PM EEST,user5,"4- Frasi, Pittogrammi e Parole Chiave",3,2,2,1,nulla
2025/07/02 5:17:02 PM EEST,user6,1- Testo completo,2,1,2,2,"testo più semplificato, con parole un pò più semplici"
2025/06/25 5:15:19 PM EEST,user6,2- Solo Frasi,2,2,2,2,no
2025/06/18 5:36:01 PM EEST,user6,3- Frasi e Pittogrammi,2,2,3,2,no
2025/06/26 5:01:04 PM EEST,user6,"4- Frasi, Pittogrammi e Parole Chiave",2,1,2,2,no
